"44";"49";"53";"72";"85"
"Fédération Française Aéronautique";0;0;0;0;6
"Fédération Française d'Athlétisme";14;6;6;8;5
"Fédération Française de Badminton";0;4;0;1;1
"Fédération Française de Basketball";4;10;4;5;3
"Fédération Française de Bowling et de Sport de Quilles";1;0;0;0;1
"Fédération Française de Boxe";3;0;0;0;1
"Fédération Française de Canoë-Kayak";11;2;0;3;0
"Fédération Française de Cyclisme";14;0;4;1;6
"Fédération Française de Football";25;6;4;2;17
"Fédération Française de Football Américain";0;0;0;9;0
"Fédération Française de Golf";2;0;0;0;0
"Fédération Française de Gymnastique";9;1;0;7;1
"Fédération Française de Handball";26;4;1;1;3
"Fédération Française de Hockey";0;3;0;0;0
"Fédération Française de Hockey sur Glace";0;1;0;0;0
"Fédération Française de Judo-Jujitsu Kendo et Disciplines Associées";12;9;2;1;10
"Fédération Française de Karaté et disciplines associées";1;2;0;15;5
"Fédération Française de la Montagne et de l'Escalade";2;2;0;0;0
"Fédération Française de Lutte";1;0;0;0;0
"Fédération Française de Motocyclisme";3;0;0;4;1
"Fédération Française de Natation";7;12;1;0;0
"Fédération Française de Parachutisme";0;5;0;0;0
"Fédération Française de Pétanque et Jeu Provençal";0;0;0;1;0
"Fédération Française d'Equitation";5;19;0;7;2
"Fédération Française de Roller Sports";16;5;0;1;7
"Fédération Française de Rugby";1;1;0;0;0
"Fédération Française de Savate, Boxe Française et Disciplines Associées";6;1;0;0;1
"Fédération Française d'Escrime";0;1;0;0;2
"Fédération Française de Ski Nautique";0;1;2;0;0
"Fédération Française de Squash";1;0;0;7;0
"Fédération Française des Sociétés d'Aviron";11;2;0;0;0
"Fédération Française des Sports de Glace";0;2;0;0;0
"Fédération Française de Surf";0;0;0;0;2
"Fédération Française de Taekwondo et Disciplines Associées";2;0;0;0;0
"Fédération Française de Tennis";6;2;0;0;3
"Fédération Française de Tennis de Table";7;3;1;0;1
"Fédération Française de Tir";1;1;1;0;0
"Fédération Française de Tir à l'Arc";1;2;0;0;4
"Fédération Française de Triathlon";0;0;1;0;5
"Fédération Française de Voile";46;1;2;0;7
"Fédération Française de Vol à Voile";0;1;0;0;2
"Fédération Française de Volley-Ball";10;1;6;1;1
"Fédération Française d'Haltérophilie, musculation, force athlétique et culturisme";0;0;2;0;0
"Fédération Française du Sport Adapté";2;1;0;0;1
"Fédération Française du Sport Automobile";0;0;1;9;2
"Fédération Française Handisport";7;3;1;0;3
