Categories,Nombre de Likes
6/15/2012,1421
6/16/2012,1419
6/17/2012,1419
6/18/2012,1419
6/19/2012,1419
6/20/2012,1419
6/21/2012,1418
6/22/2012,1418
6/23/2012,1418
6/24/2012,1418
6/25/2012,1418
6/26/2012,1418
6/27/2012,1418
6/28/2012,1417
6/29/2012,1417
6/30/2012,1417
7/1/2012,1417
7/2/2012,1417
7/3/2012,1417
7/4/2012,1417
7/5/2012,1417
7/6/2012,1417
7/7/2012,1417
7/8/2012,1417
7/9/2012,1417
7/10/2012,1417
7/11/2012,1418
7/12/2012,1417
7/13/2012,1417
7/14/2012,1417
7/15/2012,1417
7/16/2012,1418
7/17/2012,1418
7/18/2012,1418
7/19/2012,1419
7/20/2012,1419
7/21/2012,1419
7/22/2012,1419
7/23/2012,1419
7/24/2012,1419
7/25/2012,1419
7/26/2012,1419
7/27/2012,1419
7/28/2012,1419
7/29/2012,1419
7/30/2012,1419
7/31/2012,1419
8/1/2012,1419
8/2/2012,1419
8/3/2012,1419
8/4/2012,1419
8/5/2012,1420
8/6/2012,1420
8/7/2012,1419
8/8/2012,1420
8/9/2012,1420
8/10/2012,1421
8/11/2012,1421
8/12/2012,1421
8/13/2012,1422
8/14/2012,1421
8/15/2012,1422
8/16/2012,1422
8/17/2012,1422
8/18/2012,1423
8/19/2012,1424
8/20/2012,1424
8/21/2012,1424
8/22/2012,1424
8/23/2012,1424
8/24/2012,1424
8/25/2012,1424
8/26/2012,1425
8/27/2012,1425
8/28/2012,1425
8/29/2012,1424
8/30/2012,1424
8/31/2012,1425
9/1/2012,1425
9/2/2012,1425
9/3/2012,1425
9/4/2012,1424
9/5/2012,1424
9/6/2012,1424
9/7/2012,1424
9/8/2012,1422
9/9/2012,1420
9/10/2012,1421
9/11/2012,1423
9/12/2012,1424
9/13/2012,1424
9/14/2012,1425
9/15/2012,1425
9/16/2012,1425
9/17/2012,1425
9/18/2012,1426
9/19/2012,1426
9/20/2012,1427
9/21/2012,1442
9/22/2012,1444
9/23/2012,1449
9/24/2012,1453
9/25/2012,1460
9/26/2012,1463
9/27/2012,1464
9/28/2012,1466
9/29/2012,1466
9/30/2012,1466
10/1/2012,1468
10/2/2012,1467
10/3/2012,1469
10/4/2012,1471
10/5/2012,1475
10/6/2012,1477
10/7/2012,1480
10/8/2012,1483
10/9/2012,1486
10/10/2012,1488
10/11/2012,1489
10/12/2012,1489
10/13/2012,1492
10/14/2012,1494
10/15/2012,1496
10/16/2012,1501
10/17/2012,1504
10/18/2012,1508
10/19/2012,1510
10/20/2012,1513
10/21/2012,1518
10/22/2012,1520
10/23/2012,1526
10/24/2012,1529
10/25/2012,1529
10/26/2012,1531
10/27/2012,1532
10/28/2012,1534
10/29/2012,1536
10/30/2012,1539
10/31/2012,1543
11/1/2012,1546
11/2/2012,1547
11/3/2012,1551
11/4/2012,1557
11/5/2012,1558
11/6/2012,1561
11/7/2012,1562
11/8/2012,1563
11/9/2012,1565
11/10/2012,1567
11/11/2012,1570
11/12/2012,1572
11/13/2012,1573
11/14/2012,1577
11/15/2012,1579
11/16/2012,1579
11/17/2012,1580
11/18/2012,1581
11/19/2012,1581
11/20/2012,1582
11/21/2012,1588
11/22/2012,1587
11/23/2012,1591
11/24/2012,1591
11/25/2012,1592
11/26/2012,1594
11/27/2012,1598
11/28/2012,1601
11/29/2012,1607
11/30/2012,1606
12/1/2012,1606
12/2/2012,1608
12/3/2012,1608
12/4/2012,1612
12/5/2012,1617
12/6/2012,1622
12/7/2012,1624
12/8/2012,1628
12/9/2012,1633
12/10/2012,1636
12/11/2012,1638
12/12/2012,1638
12/13/2012,1649
12/14/2012,1656
12/15/2012,1661
12/16/2012,1664
12/17/2012,1666
12/18/2012,1669
12/19/2012,1670
12/20/2012,1670
12/21/2012,1670
12/22/2012,1671
12/23/2012,1673
12/24/2012,1673
12/25/2012,1674
12/26/2012,1683
12/27/2012,1686
12/28/2012,1687
12/29/2012,1688
12/30/2012,1692
12/31/2012,1693
1/1/2013,1694
1/2/2013,1700
1/3/2013,1703
1/4/2013,1704
1/5/2013,1707
1/6/2013,1715
1/7/2013,1718
1/8/2013,1722
1/9/2013,1723
1/10/2013,1725
1/11/2013,1726
1/12/2013,1727
1/13/2013,1729
1/14/2013,1732
1/15/2013,1735
1/16/2013,1736
1/17/2013,1737
1/18/2013,1738
1/19/2013,1741
1/20/2013,1742
1/21/2013,1745
1/22/2013,1748
1/23/2013,1751
1/24/2013,1755
1/25/2013,1755
1/26/2013,1759
1/27/2013,1761
1/28/2013,1763
1/29/2013,1768
1/30/2013,1768
1/31/2013,1770
2/1/2013,1770
2/2/2013,1770
2/3/2013,1772
2/4/2013,1773
2/5/2013,1777
2/6/2013,1779
2/7/2013,1781
2/8/2013,1780
2/9/2013,1784
2/10/2013,1786
2/11/2013,1787
2/12/2013,1787
2/13/2013,1787
2/14/2013,1788
2/15/2013,1790
2/16/2013,1793
2/17/2013,1795
2/18/2013,1795
2/19/2013,1798
2/20/2013,1802
2/21/2013,1805
2/22/2013,1804
2/23/2013,1805
2/24/2013,1807
2/25/2013,1808
2/26/2013,1811
2/27/2013,1811
2/28/2013,1811
3/1/2013,1810
3/2/2013,1811
3/3/2013,1812
3/4/2013,1813
3/5/2013,1813
3/6/2013,1814
3/7/2013,1815
3/8/2013,1816
3/9/2013,1819
3/10/2013,1820
3/11/2013,1821
3/12/2013,1823
3/13/2013,1826
3/14/2013,1827
3/15/2013,1827
3/16/2013,1828
3/17/2013,1830
3/18/2013,1834
3/19/2013,1832
3/20/2013,1833
3/21/2013,1838
3/22/2013,1842
3/23/2013,1844
3/24/2013,1846
3/25/2013,1852
3/26/2013,1856
3/27/2013,1859
3/28/2013,1859
3/29/2013,1861
3/30/2013,1862
3/31/2013,1863
4/1/2013,1867
4/2/2013,1868
4/3/2013,1873
4/4/2013,1875
4/5/2013,1877
4/6/2013,1881
4/7/2013,1883
4/8/2013,1886
4/9/2013,1889
4/10/2013,1894
4/11/2013,1898
4/12/2013,1901
4/13/2013,1902
4/14/2013,1904
4/15/2013,1917
4/16/2013,1928
4/17/2013,1933
4/18/2013,1945
4/19/2013,1953
4/20/2013,1976
4/21/2013,2020
4/22/2013,2038
4/23/2013,2043
4/24/2013,2043
4/25/2013,2040
4/26/2013,2045
4/27/2013,2045
4/28/2013,2046
4/29/2013,2045
4/30/2013,2049
5/1/2013,2052
5/2/2013,2054
5/3/2013,2052
5/4/2013,2053
5/5/2013,2056
5/6/2013,2057
5/7/2013,2057
5/8/2013,2057
5/9/2013,2058
5/10/2013,2057
5/11/2013,2057
5/12/2013,2057
5/13/2013,2057
5/14/2013,2057
5/15/2013,2059
5/16/2013,2059
5/17/2013,2059
5/18/2013,2059
5/19/2013,2058
5/20/2013,2057
5/21/2013,2057
5/22/2013,2057
5/23/2013,2057
5/24/2013,2056
5/25/2013,2056
5/26/2013,2056
5/27/2013,2056
5/28/2013,2057
5/29/2013,2058
5/30/2013,2058
5/31/2013,2059
6/1/2013,2058
6/2/2013,2059
6/3/2013,2057
6/4/2013,2057
6/5/2013,2058
6/6/2013,2058
6/7/2013,2059
6/8/2013,2059
6/9/2013,2061
6/10/2013,2061
6/11/2013,2060
6/12/2013,2061
6/13/2013,2061
6/14/2013,2062
6/15/2013,2062
6/16/2013,2062
6/17/2013,2063
6/18/2013,2063
6/19/2013,2064
6/20/2013,2068
6/21/2013,2068
6/22/2013,2070
6/23/2013,2071
6/24/2013,2070
6/25/2013,2070
6/26/2013,2070
6/27/2013,2071
6/28/2013,2069
6/29/2013,2069
6/30/2013,2069
7/1/2013,2071
7/2/2013,2071
7/3/2013,2071
7/4/2013,2071
7/5/2013,2073
7/6/2013,2074
7/7/2013,2074
7/8/2013,2075
7/9/2013,2074
7/10/2013,2075
7/11/2013,2075
7/12/2013,2074
7/13/2013,2075
7/14/2013,2075
7/15/2013,2075
7/16/2013,2075
7/17/2013,2075
7/18/2013,2075
7/19/2013,2075
7/20/2013,2075
7/21/2013,2075
7/22/2013,2075
7/23/2013,2074
7/24/2013,2074
7/25/2013,2074
7/26/2013,2074
7/27/2013,2074
7/28/2013,2074
7/29/2013,2075
7/30/2013,2075
7/31/2013,2074
8/1/2013,2074
8/2/2013,2075
8/3/2013,2077
8/4/2013,2077
8/5/2013,2079
8/6/2013,2079
8/7/2013,2079
8/8/2013,2080
8/9/2013,2082
8/10/2013,2082
8/11/2013,2082
8/12/2013,2082
8/13/2013,2084
8/14/2013,2085
8/15/2013,2085
8/16/2013,2085
8/17/2013,2085
8/18/2013,2086
8/19/2013,2086
8/20/2013,2086
8/21/2013,2086
8/22/2013,2086
8/23/2013,2085
8/24/2013,2085
8/25/2013,2085
8/26/2013,2087
8/27/2013,2087
8/28/2013,2087
8/29/2013,2086
8/30/2013,2087
